"Site","Latitude","Longitude","Year","Date","Transect","Depth_ft","Classcode","Amount","Stipes","Distance"
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,22,"Acid Weed",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,22,"Broad-Ribbed Kelp",50,NA,13.6
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,22,"Bull Kelp",4,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,22,"Feather Boa Kelp",0,0,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,22,"Five-Ribbed Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,22,"Giant Kelp",0,0,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,22,"Sieve Kelp",14,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,22,"Sugar Kelp",17,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,22,"Three-Ribbed Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,22,"Torn Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,22,"Winged Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,22,"Wire Weed",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,22,"Woody Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,33,"Acid Weed",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,33,"Broad-Ribbed Kelp",6,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,33,"Bull Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,33,"Feather Boa Kelp",0,0,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,33,"Five-Ribbed Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,33,"Giant Kelp",0,0,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,33,"Sieve Kelp",55,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,33,"Sugar Kelp",7,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,33,"Three-Ribbed Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,33,"Torn Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,33,"Winged Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,33,"Wire Weed",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,2,33,"Woody Kelp",1,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,46,"Acid Weed",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,46,"Broad-Ribbed Kelp",9,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,46,"Bull Kelp",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,46,"Feather Boa Kelp",0,0,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,46,"Five-Ribbed Kelp",1,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,46,"Giant Kelp",0,0,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,3,46,"Sieve Kelp",56,NA,26.2
