"Site","Latitude","Longitude","Year","Date","Transect","Classcode","Sex_Age","Amount","Size_category","Size_mean_cm","Size_min_cm","Size_max_cm","Depth_ft","depth_start_ft","depth_end_ft","Visibility_m"
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Black Rockfish",NA,0,NA,NA,NA,NA,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Black/Yellowtail YOY",NA,0,NA,NA,NA,NA,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Blue Rockfish",NA,0,NA,NA,NA,NA,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Blue/Deacon YOY",NA,0,NA,NA,NA,NA,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Bocaccio YOY",NA,0,NA,NA,NA,NA,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Brown Rockfish",NA,0,NA,NA,NA,NA,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Brown/Copper/Quillback YOY",NA,0,NA,NA,NA,NA,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Buffalo Sculpin",NA,0,NA,NA,NA,NA,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Cabezon",NA,0,NA,NA,NA,NA,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Canary Rockfish",NA,0,NA,NA,NA,NA,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Canary YOY",NA,0,NA,NA,NA,NA,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"China Rockfish",NA,0,NA,NA,NA,NA,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Copper Rockfish",NA,0,NA,NA,NA,NA,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Deacon Rockfish",NA,0,NA,NA,NA,NA,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Forage Fish",NA,0,NA,NA,NA,NA,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Gopher Rockfish",NA,0,NA,NA,NA,NA,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Grass Rockfish",NA,0,NA,NA,NA,NA,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Kelp Greenling","Female",1,NA,27,27,27,22,17,27,NA
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,1,"Kelp Greenling","Male",1,NA,13,13,13,22,17,27,NA
