"Site","Latitude","Longitude","Year","Date","Depth_ft","Transect","Classcode","Amount","Size","Distance"
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,22,1,"Bat Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,22,1,"Blood Star",3,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,22,1,"Blue Striped Sun Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,22,1,"California Sea Cucumber",36,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,22,1,"Dawson's Sun Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,22,1,"Dungeness Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,22,1,"Giant Pacific Octopus",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,22,1,"Giant Spined Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,22,1,"Green Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,22,1,"Green/Pallid Urchin",52,NA,14.8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,22,1,"Gumboot Chiton",1,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,22,1,"Hairy Triton",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,22,1,"Kelp Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,22,1,"Kelp Crab (Juvenile)",1,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,22,1,"Large Anemone",1,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,22,1,"Leather Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,22,1,"Mottled Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,22,1,"Ochre Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,22,1,"Orange Cucumber",12,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,22,1,"Piddock Clam",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,22,1,"Pinto Abalone",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,22,1,"Plumose Anemone",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,22,1,"Purple Urchin",13,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,22,1,"Rainbow Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,22,1,"Red Urchin",51,NA,9.2
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,22,1,"Rock Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,22,1,"Rock Scallop",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,22,1,"Short Spined Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,22,1,"Slender Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,22,1,"Sunflower Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,33,2,"Bat Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,33,2,"Blood Star",6,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,33,2,"Blue Striped Sun Star",4,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,33,2,"California Sea Cucumber",32,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,33,2,"Dawson's Sun Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,33,2,"Dungeness Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,33,2,"Giant Pacific Octopus",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,33,2,"Giant Spined Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,33,2,"Green Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,33,2,"Green/Pallid Urchin",53,NA,10.8
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,33,2,"Gumboot Chiton",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,33,2,"Hairy Triton",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,33,2,"Kelp Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,33,2,"Kelp Crab (Juvenile)",2,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,33,2,"Large Anemone",1,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,33,2,"Leather Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,33,2,"Mottled Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,33,2,"Ochre Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,33,2,"Orange Cucumber",27,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,33,2,"Piddock Clam",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,33,2,"Pinto Abalone",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,33,2,"Plumose Anemone",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,33,2,"Purple Urchin",3,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,33,2,"Rainbow Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,33,2,"Red Urchin",53,NA,7.4
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,33,2,"Rock Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,33,2,"Rock Scallop",2,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,33,2,"Short Spined Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,33,2,"Slender Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,33,2,"Sunflower Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,46,3,"Bat Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,46,3,"Blood Star",2,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,46,3,"Blue Striped Sun Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,46,3,"California Sea Cucumber",17,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,46,3,"Dawson's Sun Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,46,3,"Dungeness Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,46,3,"Giant Pacific Octopus",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,46,3,"Giant Spined Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,46,3,"Green Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,46,3,"Green/Pallid Urchin",18,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,46,3,"Gumboot Chiton",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,46,3,"Hairy Triton",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,46,3,"Kelp Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,46,3,"Kelp Crab (Juvenile)",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,46,3,"Large Anemone",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,46,3,"Leather Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,46,3,"Mottled Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,46,3,"Ochre Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,46,3,"Orange Cucumber",19,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,46,3,"Piddock Clam",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,46,3,"Pinto Abalone",1,9,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,46,3,"Plumose Anemone",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,46,3,"Purple Urchin",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,46,3,"Rainbow Star",1,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,46,3,"Red Urchin",21,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,46,3,"Rock Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,46,3,"Rock Scallop",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,46,3,"Short Spined Star",1,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,46,3,"Slender Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,46,3,"Sunflower Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,15.5,4,"Bat Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,15.5,4,"Blood Star",5,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,15.5,4,"Blue Striped Sun Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,15.5,4,"California Sea Cucumber",21,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,15.5,4,"Dawson's Sun Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,15.5,4,"Dungeness Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,15.5,4,"Giant Pacific Octopus",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,15.5,4,"Giant Spined Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,15.5,4,"Green Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,15.5,4,"Green/Pallid Urchin",47,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,15.5,4,"Gumboot Chiton",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,15.5,4,"Hairy Triton",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,15.5,4,"Kelp Crab",1,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,15.5,4,"Kelp Crab (Juvenile)",1,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,15.5,4,"Large Anemone",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,15.5,4,"Leather Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,15.5,4,"Mottled Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,15.5,4,"Ochre Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,15.5,4,"Orange Cucumber",12,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,15.5,4,"Piddock Clam",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,15.5,4,"Pinto Abalone",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,15.5,4,"Plumose Anemone",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,15.5,4,"Purple Urchin",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,15.5,4,"Rainbow Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,15.5,4,"Red Urchin",23,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,15.5,4,"Rock Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,15.5,4,"Rock Scallop",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,15.5,4,"Short Spined Star",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,15.5,4,"Slender Crab",0,NA,30
"7751 Reef",48.365835,-123.783186,2023,2023-09-16,15.5,4,"Sunflower Star",1,41,30
