"Site","Latitude","Longitude","Year","Date","Transect","Depth_ft","Category","Classcode","Amount","Total_Amount","Percentage"
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,1,55,"UPC Cover","None",23,30,76.6666666666667
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,1,55,"UPC Cover","Other Brown Algae",7,30,23.3333333333333
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,1,55,"UPC Cover","Encrusting Red Algae",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,1,55,"UPC Superlayer","Superlayer Mobile Invertebrates",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,1,55,"UPC Cover","Red Algae",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,1,55,"UPC Cover","Crustose Coralline",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,1,55,"UPC Cover","Sessile Invertebrates",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,1,55,"UPC Superlayer","Superlayer Brown Algae",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,1,55,"UPC Superlayer","Superlayer Red Algae",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,1,55,"UPC Cover","Articulated Coralline",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,1,55,"UPC Cover","Kelp Holdfast",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,1,55,"UPC Superlayer","Superlayer Green Algae",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,1,55,"UPC Cover","Green Algae",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,1,55,"UPC Cover","Seagrasses",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,2,55,"UPC Cover","None",24,30,80
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,2,55,"UPC Cover","Other Brown Algae",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,2,55,"UPC Cover","Encrusting Red Algae",6,30,20
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,2,55,"UPC Superlayer","Superlayer Mobile Invertebrates",3,30,10
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,2,55,"UPC Cover","Red Algae",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,2,55,"UPC Cover","Crustose Coralline",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,2,55,"UPC Cover","Sessile Invertebrates",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,2,55,"UPC Superlayer","Superlayer Brown Algae",0,30,0
"Goby Gardens",47.631907,-122.94162,2023,2023-06-04,2,55,"UPC Superlayer","Superlayer Red Algae",0,30,0
