"basin","basin_id","site","site_id","latitude","longitude","ak_acid_weed","ak_broad-ribbed_kelp","ak_bull_kelp","ak_feather_boa_n","ak_five-ribbed_kelp","ak_giant_kelp_n","ak_sieve_kelp","ak_sugar_kelp","ak_three-ribbed_kelp","ak_torn_kelp","ak_winged_kelp","ak_wire_weed","ak_woody_kelp"
"South_Puget_Sound",1,"Devils_Head",1,47.166934,-122.761201,31.63,NA,NA,NA,0,NA,0,22.1,NA,NA,NA,0,NA
"South_Puget_Sound",1,"Ketron_Island",2,47.167661,-122.63057,390,NA,NA,NA,457.89,NA,0,158.24,NA,NA,NA,NA,NA
"South_Puget_Sound",1,"Squaxin_Island",3,47.16767,-122.895667,224.35,NA,0,NA,0,NA,NA,0,NA,NA,0,2253.24,NA
"South_Puget_Sound",1,"Fox_Island_East_Wall",4,47.228194,-122.589757,19.3,NA,NA,NA,545.45,NA,90.63,211.97,NA,NA,NA,Inf,NA
"South_Puget_Sound",1,"Titlow_Beach",5,47.246982,-122.555038,112.87,1037.5,70.27,NA,43.53,NA,24.59,60.23,0,NA,0,212.77,177.78
"Central_Puget_Sound",2,"Salmon_Beach",6,47.296017,-122.53165,128.54,NA,67.29,NA,102.1,NA,250,124.46,NA,NA,NA,85.71,451.69
"Central_Puget_Sound",2,"Owen_Beach",7,47.31752,-122.53389,387.04,79.31,594.07,NA,345.45,NA,Inf,182.39,NA,0,0,217.72,151.51
"Central_Puget_Sound",2,"Point_Dalco",8,47.333519,-122.519126,30.62,0,238.89,NA,635.14,NA,0,86.04,NA,0,NA,637.38,NA
"Central_Puget_Sound",2,"Saltwater_State_Park",9,47.373282,-122.327981,71.43,NA,NA,NA,40,NA,Inf,83.19,NA,NA,NA,NA,NA
"Hood_Canal",3,"Sund_Rock",10,47.435996,-123.12022,0,0,NA,NA,NA,NA,45.73,49.29,NA,NA,0,4.11,NA
"Central_Puget_Sound",2,"Glen_Acres",11,47.48005,-122.448455,34.62,0,65.22,NA,127.27,NA,0,49.21,NA,NA,0,1876.92,NA
