"basin","basin_id","year","n_sites","ak_acid_weed_avg","ak_acid_weed_sd","ak_acid_weed_var","ak_broad-ribbed_kelp_avg","ak_broad-ribbed_kelp_sd","ak_broad-ribbed_kelp_var","ak_bull_kelp_avg","ak_bull_kelp_sd","ak_bull_kelp_var","ak_feather_boa_n_avg","ak_feather_boa_n_sd","ak_feather_boa_n_var","ak_five-ribbed_kelp_avg","ak_five-ribbed_kelp_sd","ak_five-ribbed_kelp_var","ak_giant_kelp_n_avg","ak_giant_kelp_n_sd","ak_giant_kelp_n_var","ak_sieve_kelp_avg","ak_sieve_kelp_sd","ak_sieve_kelp_var","ak_sugar_kelp_avg","ak_sugar_kelp_sd","ak_sugar_kelp_var","ak_three-ribbed_kelp_avg","ak_three-ribbed_kelp_sd","ak_three-ribbed_kelp_var","ak_torn_kelp_avg","ak_torn_kelp_sd","ak_torn_kelp_var","ak_winged_kelp_avg","ak_winged_kelp_sd","ak_winged_kelp_var","ak_wire_weed_avg","ak_wire_weed_sd","ak_wire_weed_var","ak_woody_kelp_avg","ak_woody_kelp_sd","ak_woody_kelp_var"
"South_Puget_Sound",1,2021,1,0.27,NA,NA,0,NA,NA,0.12,NA,NA,0,NA,NA,0.42,NA,NA,0,NA,NA,0,NA,NA,3.55,NA,NA,0,NA,NA,0,NA,NA,0.01,NA,NA,0.23,NA,NA,0,NA,NA
"South_Puget_Sound",1,2022,3,0.34,0.5,0.25,0,0,0,0,0.01,0,0,0,0,0.05,0.07,0.01,0,0,0,0,0,0,0.89,1.46,2.12,0,0,0,0,0,0,0,0,0,0.24,0.39,0.15,0,0,0
"South_Puget_Sound",1,2023,5,0.55,0.49,0.24,0,0,0,0.05,0.1,0.01,0,0,0,0.11,0.17,0.03,0,0,0,0.91,1.74,3.04,1.65,1.23,1.52,0,0,0,0,0,0,0,0,0,0.06,0.06,0,0,0,0
"South_Puget_Sound",1,2024,5,1.07,1.71,2.92,0.01,0.02,0,0.04,0.08,0.01,0,0,0,0.2,0.41,0.17,0,0,0,0.73,1.56,2.42,1.31,0.96,0.93,0,0,0,0,0,0,0,0,0,0.02,0.03,0,0,0.01,0
"South_Puget_Sound",1,2025,5,0.9,1.6,2.56,0.05,0.1,0.01,0.03,0.06,0,0,0,0,0.09,0.12,0.01,0,0,0,0.7,1.51,2.29,1.26,1.41,1.98,0,0,0,0,0,0,0,0,0,0.47,0.95,0.91,0,0.01,0
"Central_Puget_Sound",2,2021,3,0.12,0.19,0.04,0,0,0,0.37,0.53,0.28,0,0,0,0.15,0.15,0.02,0,0,0,0,0,0,3.15,1.46,2.14,0,0,0,0,0,0,0,0,0,0.18,0.29,0.09,0,0,0
"Central_Puget_Sound",2,2022,8,0.08,0.07,0,0,0,0,0.35,0.36,0.13,0,0,0,0.26,0.13,0.02,0,0,0,0.02,0.06,0,3.21,1.45,2.11,0,0,0,0,0.01,0,0,0.01,0,0.06,0.08,0.01,0.09,0.25,0.06
"Central_Puget_Sound",2,2023,13,0.41,0.59,0.35,0.02,0.05,0,0.67,1.61,2.59,0,0,0,0.42,0.74,0.54,0,0,0,0.01,0.01,0,2.88,2.45,6.03,0,0,0,0,0,0,0.01,0.03,0,0.05,0.06,0,0.17,0.34,0.12
"Central_Puget_Sound",2,2024,16,0.2,0.25,0.06,0.04,0.18,0.03,0.66,1.34,1.8,0,0,0,0.34,0.58,0.34,0,0,0,0.14,0.4,0.16,1.8,1.27,1.6,0,0,0,0,0,0,0,0,0,0.05,0.1,0.01,0.19,0.48,0.23
"Central_Puget_Sound",2,2025,16,0.24,0.46,0.22,0,0.01,0,0.72,1.56,2.43,0,0,0,0.42,0.64,0.41,0,0,0,0.16,0.44,0.19,2.02,1.54,2.37,0,0,0,0,0,0,0.01,0.03,0,0.17,0.23,0.05,0.41,1.26,1.6
"Hood_Canal",3,2022,3,0.04,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.43,0.19,0.24,0.22,0.05,0,0,0,0,0,0,0,0.01,0,0.07,0.12,0.01,0,0,0
"Hood_Canal",3,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0.38,0.14,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0
"Hood_Canal",3,2024,3,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22,0.38,0.14,0.08,0.14,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hood_Canal",3,2025,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,0.75,0.56,0.05,0.07,0.01,0,0,0,0,0,0,0,0,0,0.02,0.03,0,0,0,0
"Northern_Coast",4,2024,2,0,0,0,0,0,0,0.12,0.15,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.04,0,0,0,0,0.74,0.5,0.25,0,0.01,0,0,0,0,0.2,0.2,0.04
