"basin","basin_id","year","n_sites","ak_acid_weed_avg","ak_acid_weed_sd","ak_acid_weed_var","ak_broad-ribbed_kelp_avg","ak_broad-ribbed_kelp_sd","ak_broad-ribbed_kelp_var","ak_bull_kelp_avg","ak_bull_kelp_sd","ak_bull_kelp_var","ak_feather_boa_n_avg","ak_feather_boa_n_sd","ak_feather_boa_n_var","ak_five-ribbed_kelp_avg","ak_five-ribbed_kelp_sd","ak_five-ribbed_kelp_var","ak_giant_kelp_n_avg","ak_giant_kelp_n_sd","ak_giant_kelp_n_var","ak_sieve_kelp_avg","ak_sieve_kelp_sd","ak_sieve_kelp_var","ak_sugar_kelp_avg","ak_sugar_kelp_sd","ak_sugar_kelp_var","ak_three-ribbed_kelp_avg","ak_three-ribbed_kelp_sd","ak_three-ribbed_kelp_var","ak_torn_kelp_avg","ak_torn_kelp_sd","ak_torn_kelp_var","ak_winged_kelp_avg","ak_winged_kelp_sd","ak_winged_kelp_var","ak_wire_weed_avg","ak_wire_weed_sd","ak_wire_weed_var","ak_woody_kelp_avg","ak_woody_kelp_sd","ak_woody_kelp_var","cv_acid_weed_avg","cv_acid_weed_sd","cv_acid_weed_var","cv_articulated_avg","cv_articulated_sd","cv_articulated_var","cv_brown_algae_avg","cv_brown_algae_sd","cv_brown_algae_var","cv_crustose_avg","cv_crustose_sd","cv_crustose_var","cv_encrusting_avg","cv_encrusting_sd","cv_encrusting_var","cv_green_algae_avg","cv_green_algae_sd","cv_green_algae_var","cv_holdfast_avg","cv_holdfast_sd","cv_holdfast_var","cv_none_avg","cv_none_sd","cv_none_var","cv_red_algae_avg","cv_red_algae_sd","cv_red_algae_var","cv_seagrass_avg","cv_seagrass_sd","cv_seagrass_var","cv_sessile_inverts_avg","cv_sessile_inverts_sd","cv_sessile_inverts_var","rf_0-10cm_avg","rf_0-10cm_sd","rf_0-10cm_var","rf_10cm-1m_avg","rf_10cm-1m_sd","rf_10cm-1m_var","rf_1m-2m_avg","rf_1m-2m_sd","rf_1m-2m_var","rf_over_2m_avg","rf_over_2m_sd","rf_over_2m_var","sb_boulder_avg","sb_boulder_sd","sb_boulder_var","sb_clay-wa_avg","sb_clay-wa_sd","sb_clay-wa_var","sb_cobble_avg","sb_cobble_sd","sb_cobble_var","sb_cobble-wa_avg","sb_cobble-wa_sd","sb_cobble-wa_var","sb_l_boulder-wa_avg","sb_l_boulder-wa_sd","sb_l_boulder-wa_var","sb_other_avg","sb_other_sd","sb_other_var","sb_pebble-wa_avg","sb_pebble-wa_sd","sb_pebble-wa_var","sb_reef_avg","sb_reef_sd","sb_reef_var","sb_rock_avg","sb_rock_sd","sb_rock_var","sb_s_boulder-wa_avg","sb_s_boulder-wa_sd","sb_s_boulder-wa_var","sb_sand_avg","sb_sand_sd","sb_sand_var","sb_shell_hash-wa_avg","sb_shell_hash-wa_sd","sb_shell_hash-wa_var","sp_acid_weed_avg","sp_acid_weed_sd","sp_acid_weed_var","sp_brown_algae_avg","sp_brown_algae_sd","sp_brown_algae_var","sp_green_algae_avg","sp_green_algae_sd","sp_green_algae_var","sp_mobile_inverts_avg","sp_mobile_inverts_sd","sp_mobile_inverts_var","sp_red_algae_avg","sp_red_algae_sd","sp_red_algae_var"
"South_Puget_Sound",1,2021,1,0.27,NA,NA,0,NA,NA,0.12,NA,NA,0,NA,NA,0.42,NA,NA,0,NA,NA,0,NA,NA,3.55,NA,NA,0,NA,NA,0,NA,NA,0.01,NA,NA,0.23,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.01,NA,NA,0,NA,NA,0,NA,NA,0.05,NA,NA,0.81,NA,NA,0.04,NA,NA,0,NA,NA,0.08,NA,NA,0.81,NA,NA,0.19,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.26,NA,NA,0,NA,NA,0,NA,NA,0.21,NA,NA,0,NA,NA,0,NA,NA,0.01,NA,NA,0.5,NA,NA,0.01,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"South_Puget_Sound",1,2022,3,0.34,0.5,0.25,0,0,0,0,0.01,0,0,0,0,0.05,0.07,0.01,0,0,0,0,0,0,0.89,1.46,2.12,0,0,0,0,0,0,0,0,0,0.24,0.39,0.15,0,0,0,0,0,0,0,0,0,0.1,0.09,0.01,0.02,0.03,0,0.04,0.02,0,0.05,0.07,0,0,0,0,0.57,0.13,0.02,0.05,0.03,0,0,0.01,0,0.16,0.04,0,0.67,0.2,0.04,0.33,0.2,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.02,0,0,0,0,0,0,0,0.09,0.05,0,0.01,0.01,0,0.08,0.07,0.01,0.02,0.02,0,0.47,0.09,0.01,0.03,0.02,0,0,0,0,0.46,0.38,0.14,0.15,0.23,0.05,0,0.01,0,0.11,0.05,0
"South_Puget_Sound",1,2023,5,0.55,0.49,0.24,0,0,0,0.05,0.1,0.01,0,0,0,0.11,0.17,0.03,0,0,0,0.91,1.74,3.04,1.65,1.23,1.52,0,0,0,0,0,0,0,0,0,0.06,0.06,0,0,0,0,0,0,0,0.02,0.03,0,0.11,0.11,0.01,0.02,0.04,0,0.01,0.01,0,0.01,0.02,0,0.02,0.01,0,0.67,0.2,0.04,0.05,0.03,0,0,0,0,0.09,0.1,0.01,0.67,0.4,0.16,0.2,0.17,0.03,0.07,0.11,0.01,0.07,0.16,0.02,0,0,0,0.01,0.01,0,0,0,0,0.17,0.08,0.01,0,0,0,0,0,0,0.09,0.08,0.01,0.06,0.13,0.02,0.06,0.06,0,0,0,0,0.51,0.19,0.03,0.1,0.12,0.01,0,0,0,0.46,0.18,0.03,0.04,0.05,0,0,0,0,0.06,0.04,0
"South_Puget_Sound",1,2024,5,1.07,1.71,2.92,0.01,0.02,0,0.04,0.08,0.01,0,0,0,0.2,0.41,0.17,0,0,0,0.73,1.56,2.42,1.31,0.96,0.93,0,0,0,0,0,0,0,0,0,0.02,0.03,0,0,0.01,0,0,0,0,0,0,0,0.02,0.04,0,0.04,0.04,0,0.03,0.03,0,0.01,0.03,0,0.01,0.01,0,0.72,0.18,0.03,0.08,0.1,0.01,0,0,0,0.07,0.09,0.01,0.72,0.41,0.17,0.18,0.19,0.04,0.02,0.04,0,0.09,0.2,0.04,0,0,0,0.01,0.01,0,0,0,0,0.19,0.15,0.02,0,0,0,0.01,0.02,0,0.09,0.08,0.01,0.02,0.05,0,0.03,0.04,0,0,0.01,0,0.55,0.26,0.07,0.1,0.12,0.01,0.12,0.24,0.06,0.28,0.19,0.04,0.03,0.04,0,0,0.01,0,0.1,0.03,0
"South_Puget_Sound",1,2025,5,0.9,1.6,2.56,0.05,0.1,0.01,0.03,0.06,0,0,0,0,0.09,0.12,0.01,0,0,0,0.7,1.51,2.29,1.26,1.41,1.98,0,0,0,0,0,0,0,0,0,0.47,0.95,0.91,0,0.01,0,0,0,0,0,0,0,0.18,0.13,0.02,0.02,0.02,0,0.02,0.03,0,0.03,0.03,0,0.02,0.02,0,0.55,0.19,0.04,0.14,0.09,0.01,0,0,0,0.03,0.04,0,0.48,0.43,0.19,0.46,0.37,0.14,0.02,0.03,0,0.03,0.07,0,0,0,0,0,0,0,0,0,0,0.25,0.19,0.04,0,0,0,0.01,0.01,0,0.1,0.05,0,0.06,0.13,0.02,0.05,0.07,0.01,0.01,0.01,0,0.4,0.28,0.08,0.13,0.15,0.02,0.11,0.21,0.04,0.27,0.27,0.07,0.11,0.17,0.03,0.01,0.01,0,0.1,0.1,0.01
"Central_Puget_Sound",2,2021,3,0.12,0.19,0.04,0,0,0,0.37,0.53,0.28,0,0,0,0.15,0.15,0.02,0,0,0,0,0,0,3.15,1.46,2.14,0,0,0,0,0,0,0,0,0,0.18,0.29,0.09,0,0,0,0,0,0,0,0,0,0,0.01,0,0.02,0.01,0,0.09,0.11,0.01,0.02,0.02,0,0.01,0.01,0,0.54,0.07,0,0.05,0.06,0,0,0,0,0.26,0.18,0.03,0.82,0.24,0.06,0.18,0.24,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.12,0.01,0.01,0.01,0,0,0,0,0.36,0.29,0.08,0,0,0,0,0,0,0.03,0.03,0,0.23,0.15,0.02,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Central_Puget_Sound",2,2022,8,0.08,0.07,0,0,0,0,0.35,0.36,0.13,0,0,0,0.26,0.13,0.02,0,0,0,0.02,0.06,0,3.21,1.45,2.11,0,0,0,0,0.01,0,0,0.01,0,0.06,0.08,0.01,0.09,0.25,0.06,0,0,0,0,0,0,0.01,0.03,0,0.02,0.02,0,0.05,0.09,0.01,0.01,0.02,0,0.03,0.01,0,0.54,0.2,0.04,0.14,0.1,0.01,0.01,0.02,0,0.19,0.17,0.03,0.63,0.35,0.12,0.33,0.32,0.1,0.03,0.09,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.12,0.01,0.02,0.04,0,0,0.01,0,0.15,0.14,0.02,0.08,0.12,0.01,0.03,0.04,0,0.03,0.07,0,0.29,0.24,0.06,0.16,0.14,0.02,0,0,0,0.4,0.29,0.09,0.04,0.03,0,0,0,0,0.07,0.13,0.02
"Central_Puget_Sound",2,2023,13,0.41,0.59,0.35,0.02,0.05,0,0.67,1.61,2.59,0,0,0,0.42,0.74,0.54,0,0,0,0.01,0.01,0,2.88,2.45,6.03,0,0,0,0,0,0,0.01,0.03,0,0.05,0.06,0,0.17,0.34,0.12,0,0,0,0,0,0,0.12,0.12,0.01,0.03,0.02,0,0.1,0.14,0.02,0.03,0.04,0,0.04,0.08,0.01,0.52,0.21,0.05,0.06,0.08,0.01,0.01,0.02,0,0.09,0.1,0.01,0.49,0.34,0.12,0.47,0.31,0.1,0.04,0.1,0.01,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0.17,0.12,0.01,0.02,0.03,0,0.01,0.03,0,0.23,0.19,0.04,0,0.01,0,0.06,0.06,0,0.03,0.05,0,0.4,0.3,0.09,0.07,0.1,0.01,0,0,0,0.41,0.22,0.05,0.07,0.07,0.01,0.01,0.01,0,0.08,0.11,0.01
"Central_Puget_Sound",2,2024,16,0.2,0.25,0.06,0.04,0.18,0.03,0.66,1.34,1.8,0,0,0,0.34,0.58,0.34,0,0,0,0.14,0.4,0.16,1.8,1.27,1.6,0,0,0,0,0,0,0,0,0,0.05,0.1,0.01,0.19,0.48,0.23,0,0.01,0,0,0,0,0.07,0.1,0.01,0.06,0.07,0.01,0.09,0.11,0.01,0.02,0.03,0,0.04,0.05,0,0.53,0.2,0.04,0.11,0.11,0.01,0.01,0.04,0,0.06,0.05,0,0.47,0.37,0.13,0.47,0.35,0.12,0.06,0.17,0.03,0.01,0.05,0,0,0,0,0.01,0.04,0,0,0,0,0.16,0.12,0.01,0.04,0.07,0.01,0,0.01,0,0.22,0.19,0.04,0.07,0.18,0.03,0.04,0.04,0,0.04,0.05,0,0.34,0.26,0.07,0.08,0.09,0.01,0.02,0.04,0,0.42,0.23,0.05,0.07,0.08,0.01,0.01,0.01,0,0.06,0.06,0
"Central_Puget_Sound",2,2025,16,0.24,0.46,0.22,0,0.01,0,0.72,1.56,2.43,0,0,0,0.42,0.64,0.41,0,0,0,0.16,0.44,0.19,2.02,1.54,2.37,0,0,0,0,0,0,0.01,0.03,0,0.17,0.23,0.05,0.41,1.26,1.6,0,0.01,0,0,0.02,0,0.06,0.07,0.01,0.08,0.12,0.01,0.07,0.08,0.01,0.02,0.03,0,0.03,0.04,0,0.53,0.17,0.03,0.09,0.08,0.01,0.03,0.05,0,0.07,0.08,0.01,0.38,0.3,0.09,0.52,0.27,0.07,0.06,0.12,0.01,0.03,0.12,0.01,0,0,0,0.03,0.09,0.01,0,0,0,0.2,0.15,0.02,0.03,0.06,0,0,0.01,0,0.17,0.16,0.02,0.07,0.17,0.03,0.06,0.04,0,0.03,0.04,0,0.32,0.27,0.07,0.09,0.09,0.01,0.01,0.02,0,0.42,0.22,0.05,0.05,0.07,0.01,0,0.01,0,0.07,0.07,0
