"basin","basin_id","site","site_id","latitude","longitude","year","n_transects","ak_acid_weed_avg","ak_acid_weed_sd","ak_acid_weed_var","ak_broad-ribbed_kelp_avg","ak_broad-ribbed_kelp_sd","ak_broad-ribbed_kelp_var","ak_bull_kelp_avg","ak_bull_kelp_sd","ak_bull_kelp_var","ak_feather_boa_n_avg","ak_feather_boa_n_sd","ak_feather_boa_n_var","ak_five-ribbed_kelp_avg","ak_five-ribbed_kelp_sd","ak_five-ribbed_kelp_var","ak_giant_kelp_n_avg","ak_giant_kelp_n_sd","ak_giant_kelp_n_var","ak_sieve_kelp_avg","ak_sieve_kelp_sd","ak_sieve_kelp_var","ak_sugar_kelp_avg","ak_sugar_kelp_sd","ak_sugar_kelp_var","ak_three-ribbed_kelp_avg","ak_three-ribbed_kelp_sd","ak_three-ribbed_kelp_var","ak_torn_kelp_avg","ak_torn_kelp_sd","ak_torn_kelp_var","ak_winged_kelp_avg","ak_winged_kelp_sd","ak_winged_kelp_var","ak_wire_weed_avg","ak_wire_weed_sd","ak_wire_weed_var","ak_woody_kelp_avg","ak_woody_kelp_sd","ak_woody_kelp_var"
"South_Puget_Sound",1,"Devils_Head",1,47.166934,-122.761201,2022,6,0.08,0.09,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.1,0.01,0,0,0,0,0,0,0,0,0,0.69,1.22,1.48,0,0,0
"South_Puget_Sound",1,"Devils_Head",1,47.166934,-122.761201,2023,6,0.56,0.78,0.61,0,0,0,0,0,0,0,0,0,0.07,0.1,0.01,0,0,0,0.01,0.02,0,0.43,0.42,0.18,0,0,0,0,0,0,0,0,0,0.11,0.19,0.03,0,0,0
"South_Puget_Sound",1,"Devils_Head",1,47.166934,-122.761201,2024,6,0.28,0.23,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0.26,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South_Puget_Sound",1,"Devils_Head",1,47.166934,-122.761201,2025,6,0.1,0.18,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.11,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South_Puget_Sound",1,"Ketron_Island",2,47.167661,-122.63057,2022,6,0.02,0.04,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0.01,0,2.57,1.73,2.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South_Puget_Sound",1,"Ketron_Island",2,47.167661,-122.63057,2023,6,0.03,0.04,0,0,0,0,0,0,0,0,0,0,0.04,0.07,0,0,0,0,0,0,0,1.84,0.87,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South_Puget_Sound",1,"Ketron_Island",2,47.167661,-122.63057,2024,6,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0.01,0,2.02,0.74,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South_Puget_Sound",1,"Ketron_Island",2,47.167661,-122.63057,2025,6,0.07,0.08,0.01,0,0,0,0,0,0,0,0,0,0.08,0.1,0.01,0,0,0,0,0,0,3.39,1.33,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South_Puget_Sound",1,"Squaxin_Island",3,47.16767,-122.895667,2021,6,0.27,0.28,0.08,0,0,0,0.12,0.19,0.04,0,0,0,0.42,0.67,0.45,0,0,0,0,0,0,3.55,2.12,4.48,0,0,0,0,0,0,0.01,0.03,0,0.23,0.44,0.2,0,0,0
"South_Puget_Sound",1,"Squaxin_Island",3,47.16767,-122.895667,2022,6,0.92,0.48,0.23,0,0,0,0.01,0.01,0,0,0,0,0.13,0.18,0.03,0,0,0,0,0,0,0.03,0.06,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0,0,0,0
"South_Puget_Sound",1,"Squaxin_Island",3,47.16767,-122.895667,2023,6,1.36,1.16,1.35,0,0,0,0.02,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71,1.12,1.26,0,0,0,0,0,0,0,0,0,0.07,0.13,0.02,0,0,0
"South_Puget_Sound",1,"Squaxin_Island",3,47.16767,-122.895667,2024,6,4.11,3.24,10.49,0,0,0,0,0,0,0,0,0,0.06,0.1,0.01,0,0,0,0,0,0,1.29,1.39,1.94,0,0,0,0,0,0,0,0,0,0.06,0.16,0.02,0,0,0
