"key","basin","basin_id","site","site_id","transect","depth_zone","latitude","longitude","year","date","depth_ft","acid_weed","broad-ribbed_kelp","bull_kelp","five-ribbed_kelp","sieve_kelp","sugar_kelp","three-ribbed_kelp","torn_kelp","winged_kelp","wire_weed","woody_kelp","giant_kelp_n","giant_kelp_stipe","feather_boa_n","feather_boa_stipe"
"1_1_1_22","South_Puget_Sound",1,"Devils_Head",1,1,"offshore",47.166934,-122.761201,2022,"9/17/2022",3.5,0,0,0,0,0,14,0,0,0,25,0,0,0,0,0
"1_1_2_22","South_Puget_Sound",1,"Devils_Head",1,2,"offshore",47.166934,-122.761201,2022,"9/17/2022",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_1_3_22","South_Puget_Sound",1,"Devils_Head",1,3,"offshore",47.166934,-122.761201,2022,"9/17/2022",3.5,13,0,0,0,0,3,0,0,0,22,0,0,0,0,0
"1_1_4_22","South_Puget_Sound",1,"Devils_Head",1,4,"inshore",47.166934,-122.761201,2022,"9/17/2022",1.5,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0
"1_1_5_22","South_Puget_Sound",1,"Devils_Head",1,5,"inshore",47.166934,-122.761201,2022,"9/17/2022",1,9,0,0,0,0,9,0,0,0,189,0,0,0,0,0
"1_1_6_22","South_Puget_Sound",1,"Devils_Head",1,6,"inshore",47.166934,-122.761201,2022,"9/17/2022",1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1_1_1_23","South_Puget_Sound",1,"Devils_Head",1,1,"offshore",47.166934,-122.761201,2023,"8/25/2023",15,22,0,0,10,0,63,0,0,0,0,0,0,0,0,0
"1_1_2_23","South_Puget_Sound",1,"Devils_Head",1,2,"offshore",47.166934,-122.761201,2023,"8/25/2023",14.5,125,0,0,2,0,36,0,0,0,1,0,0,0,0,0
"1_1_3_23","South_Puget_Sound",1,"Devils_Head",1,3,"offshore",47.166934,-122.761201,2023,"8/25/2023",12.5,34,0,0,14,0,42,0,0,0,0,0,0,0,0,0
"1_1_4_23","South_Puget_Sound",1,"Devils_Head",1,4,"inshore",47.166934,-122.761201,2023,"8/25/2023",10.5,21,0,0,0,0,11,0,0,0,0,0,0,0,0,0
