"key","basin","basin_id","site","site_id","transect","depth_zone","latitude","longitude","year","date","depth_ft","bat_star","blood_star","blue_striped_sun_star","california_sea_cucumber","dawsons_sun_star","dungeness_crab","giant_pacific_octopus","giant_spined_star","green_crab","green_pallid_urchin","gumboot_chiton","hairy_triton","kelp_crab","kelp_crab_juv","large_anemone","leather_star","mottled_star","ochre_star","orange_cucumber","piddock_clam","pinto_abalone","plumose_anemone","purple_urchin","rainbow_star","red_urchin","rock_crab","rock_scallop","short_spined_star","slender_crab","sunflower_star","flat_abalone","masking_crab","red_abalone"
"1_1_1_25","South_Puget_Sound",1,"Devils_Head",1,1,"offshore",47.166934,-122.761201,2025,"2025-08-30",9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"1_1_2_25","South_Puget_Sound",1,"Devils_Head",1,2,"offshore",47.166934,-122.761201,2025,"2025-08-30",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_1_3_25","South_Puget_Sound",1,"Devils_Head",1,3,"offshore",47.166934,-122.761201,2025,"2025-08-30",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1_1_4_25","South_Puget_Sound",1,"Devils_Head",1,4,"inshore",47.166934,-122.761201,2025,"2025-08-30",8,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,3,0,0,0,1,0,0,6,0,0,0,0
"1_1_5_25","South_Puget_Sound",1,"Devils_Head",1,5,"inshore",47.166934,-122.761201,2025,"2025-08-30",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"1_1_6_25","South_Puget_Sound",1,"Devils_Head",1,6,"inshore",47.166934,-122.761201,2025,"2025-08-30",2.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,17,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"1_1_1_24","South_Puget_Sound",1,"Devils_Head",1,1,"offshore",47.166934,-122.761201,2024,"2024-09-22",10.5,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"1_1_2_24","South_Puget_Sound",1,"Devils_Head",1,2,"offshore",47.166934,-122.761201,2024,"2024-09-22",11.5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"1_1_3_24","South_Puget_Sound",1,"Devils_Head",1,3,"offshore",47.166934,-122.761201,2024,"2024-09-22",14.5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0
"1_1_4_24","South_Puget_Sound",1,"Devils_Head",1,4,"inshore",47.166934,-122.761201,2024,"2024-09-22",12.5,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0
"1_1_5_24","South_Puget_Sound",1,"Devils_Head",1,5,"inshore",47.166934,-122.761201,2024,"2024-09-22",10,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,8,0,0,0,0
"1_1_6_24","South_Puget_Sound",1,"Devils_Head",1,6,"inshore",47.166934,-122.761201,2024,"2024-09-22",9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,5,0,0,0,0
"1_1_1_23","South_Puget_Sound",1,"Devils_Head",1,1,"offshore",47.166934,-122.761201,2023,"2023-08-25",15,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,1,0,0,0,0
"1_1_2_23","South_Puget_Sound",1,"Devils_Head",1,2,"offshore",47.166934,-122.761201,2023,"2023-08-25",14.5,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,0,0,0,3,0,2,0,0,0,1,0,0,3,0,0,0,0
"1_1_3_23","South_Puget_Sound",1,"Devils_Head",1,3,"offshore",47.166934,-122.761201,2023,"2023-08-25",12.5,0,0,0,0,0,0,0,0,0,0,0,0,24,2,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0
"1_1_4_23","South_Puget_Sound",1,"Devils_Head",1,4,"inshore",47.166934,-122.761201,2023,"2023-08-25",10.5,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,0,0,0,5,0,3,0,0,0,1,0,0,1,0,0,0,0
"1_1_5_23","South_Puget_Sound",1,"Devils_Head",1,5,"inshore",47.166934,-122.761201,2023,"2023-08-25",5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0
"1_1_6_23","South_Puget_Sound",1,"Devils_Head",1,6,"inshore",47.166934,-122.761201,2023,"2023-08-25",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"1_1_1_22","South_Puget_Sound",1,"Devils_Head",1,1,"offshore",47.166934,-122.761201,2022,"2022-09-17",3.5,0,0,0,0,0,9,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
"1_1_2_22","South_Puget_Sound",1,"Devils_Head",1,2,"offshore",47.166934,-122.761201,2022,"2022-09-17",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1_1_3_22","South_Puget_Sound",1,"Devils_Head",1,3,"offshore",47.166934,-122.761201,2022,"2022-09-17",3.5,0,0,0,0,0,3,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"1_1_4_22","South_Puget_Sound",1,"Devils_Head",1,4,"inshore",47.166934,-122.761201,2022,"2022-09-17",1.5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0
"1_1_5_22","South_Puget_Sound",1,"Devils_Head",1,5,"inshore",47.166934,-122.761201,2022,"2022-09-17",1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"1_1_6_22","South_Puget_Sound",1,"Devils_Head",1,6,"inshore",47.166934,-122.761201,2022,"2022-09-17",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"1_2_1_25","South_Puget_Sound",1,"Ketron_Island",2,1,"offshore",47.167661,-122.63057,2025,"2025-08-31",13.5,0,0,0,19,0,0,0,0,0,0,0,0,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_2_2_25","South_Puget_Sound",1,"Ketron_Island",2,2,"offshore",47.167661,-122.63057,2025,"2025-08-31",18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1_2_3_25","South_Puget_Sound",1,"Ketron_Island",2,3,"offshore",47.167661,-122.63057,2025,"2025-08-31",14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"1_2_4_25","South_Puget_Sound",1,"Ketron_Island",2,4,"inshore",47.167661,-122.63057,2025,"2025-08-31",3.5,0,0,0,2,0,0,0,0,0,0,0,0,5,0,1,1,4,0,11,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"1_2_5_25","South_Puget_Sound",1,"Ketron_Island",2,5,"inshore",47.167661,-122.63057,2025,"2025-08-31",3.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1_2_6_25","South_Puget_Sound",1,"Ketron_Island",2,6,"inshore",47.167661,-122.63057,2025,"2025-08-31",3.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"1_2_1_24","South_Puget_Sound",1,"Ketron_Island",2,1,"offshore",47.167661,-122.63057,2024,"2024-08-25",14.5,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1_2_2_24","South_Puget_Sound",1,"Ketron_Island",2,2,"offshore",47.167661,-122.63057,2024,"2024-08-25",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1_2_3_24","South_Puget_Sound",1,"Ketron_Island",2,3,"offshore",47.167661,-122.63057,2024,"2024-08-25",15,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
"1_2_4_24","South_Puget_Sound",1,"Ketron_Island",2,4,"inshore",47.167661,-122.63057,2024,"2024-08-25",5.5,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1_2_5_24","South_Puget_Sound",1,"Ketron_Island",2,5,"inshore",47.167661,-122.63057,2024,"2024-08-25",3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"1_2_6_24","South_Puget_Sound",1,"Ketron_Island",2,6,"inshore",47.167661,-122.63057,2024,"2024-08-25",6.5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"1_2_1_23","South_Puget_Sound",1,"Ketron_Island",2,1,"offshore",47.167661,-122.63057,2023,"2023-08-25",12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_2_2_23","South_Puget_Sound",1,"Ketron_Island",2,2,"offshore",47.167661,-122.63057,2023,"2023-08-25",18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,3,0,0,2,0,0,0,0
"1_2_3_23","South_Puget_Sound",1,"Ketron_Island",2,3,"offshore",47.167661,-122.63057,2023,"2023-08-25",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0
"1_2_4_23","South_Puget_Sound",1,"Ketron_Island",2,4,"inshore",47.167661,-122.63057,2023,"2023-08-25",6.5,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_2_5_23","South_Puget_Sound",1,"Ketron_Island",2,5,"inshore",47.167661,-122.63057,2023,"2023-08-25",4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0
"1_2_6_23","South_Puget_Sound",1,"Ketron_Island",2,6,"inshore",47.167661,-122.63057,2023,"2023-08-25",5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1_2_1_22","South_Puget_Sound",1,"Ketron_Island",2,1,"offshore",47.167661,-122.63057,2022,"2022-09-18",12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_2_2_22","South_Puget_Sound",1,"Ketron_Island",2,2,"offshore",47.167661,-122.63057,2022,"2022-09-18",12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"1_2_3_22","South_Puget_Sound",1,"Ketron_Island",2,3,"offshore",47.167661,-122.63057,2022,"2022-09-18",11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1_2_4_22","South_Puget_Sound",1,"Ketron_Island",2,4,"inshore",47.167661,-122.63057,2022,"2022-09-18",10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"1_2_5_22","South_Puget_Sound",1,"Ketron_Island",2,5,"inshore",47.167661,-122.63057,2022,"2022-09-18",16.5,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"1_2_6_22","South_Puget_Sound",1,"Ketron_Island",2,6,"inshore",47.167661,-122.63057,2022,"2022-09-18",8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
"1_3_1_25","South_Puget_Sound",1,"Squaxin_Island",3,1,"offshore",47.16767,-122.895667,2025,"2025-07-15",7.5,0,0,0,4,0,0,0,0,0,0,0,0,5,2,1,2,9,0,0,223,0,0,0,0,0,1,0,0,1,0,0,0,0
"1_3_2_25","South_Puget_Sound",1,"Squaxin_Island",3,2,"offshore",47.16767,-122.895667,2025,"2025-07-15",8.5,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,9,0,0,151,0,0,0,0,0,1,0,0,1,0,0,0,0
"1_3_3_25","South_Puget_Sound",1,"Squaxin_Island",3,3,"offshore",47.16767,-122.895667,2025,"2025-07-15",10,0,0,0,10,0,0,0,0,0,0,0,0,8,3,1,0,13,4,6,764,0,2,0,0,0,2,0,0,7,0,0,0,0
"1_3_4_25","South_Puget_Sound",1,"Squaxin_Island",3,4,"inshore",47.16767,-122.895667,2025,"2025-07-15",4,0,0,0,0,0,0,0,0,0,0,0,0,11,8,3,0,3,0,0,46,0,0,0,0,0,4,0,0,1,0,0,0,0
